anio,mes,partido,municipio_id,defunciones_femeninas,defunciones_masculinas,total
2020,8,Berisso,6098,37,32,69
2020,9,Berisso,6098,29,39,68
2020,10,Berisso,6098,27,37,64
2020,11,Berisso,6098,26,48,74
2020,12,Berisso,6098,14,16,30
2020,1,Bolívar,6105,16,14,30
2020,2,Bolívar,6105,14,8,22
2020,3,Bolívar,6105,17,14,31
2020,4,Bolívar,6105,12,13,25
2020,5,Bolívar,6105,11,16,27
2020,6,Bolívar,6105,17,16,33
2020,7,Bolívar,6105,19,18,37
2020,8,Bolívar,6105,20,22,42
2020,9,Bolívar,6105,12,13,25
2020,10,Bolívar,6105,14,24,38
2020,11,Bolívar,6105,12,18,30
2020,12,Bolívar,6105,17,23,40
2020,1,Bragado,6112,13,13,26
2020,2,Bragado,6112,21,15,36
2020,3,Bragado,6112,21,13,34
2020,4,Bragado,6112,19,19,38
2020,5,Bragado,6112,13,23,36
2020,6,Bragado,6112,16,13,29
2020,7,Bragado,6112,16,23,39
2020,8,Bragado,6112,35,30,65
2020,9,Bragado,6112,40,33,73
2020,10,Bragado,6112,20,22,42
2020,11,Bragado,6112,11,16,27
2020,12,Bragado,6112,21,19,40
2020,1,Brandsen,6119,4,5,9
2020,2,Brandsen,6119,8,7,15
2020,3,Brandsen,6119,9,7,16
2020,4,Brandsen,6119,5,6,11
2020,5,Brandsen,6119,7,5,12
2020,6,Brandsen,6119,8,6,14
2020,7,Brandsen,6119,2,11,13
2020,8,Brandsen,6119,4,10,14
2020,9,Brandsen,6119,14,9,23
2020,10,Brandsen,6119,5,12,17
2020,11,Brandsen,6119,7,7,14
2020,12,Brandsen,6119,7,9,16
2020,1,Campana,6126,16,32,48
2020,2,Campana,6126,23,14,37
2020,3,Campana,6126,19,31,50
2020,4,Campana,6126,17,24,41
2020,5,Campana,6126,28,31,59
2020,6,Campana,6126,26,32,58
2020,7,Campana,6126,48,35,83
2020,8,Campana,6126,35,43,78
2020,9,Campana,6126,46,57,103
2020,10,Campana,6126,38,44,82
2020,11,Campana,6126,38,38,76
2020,12,Campana,6126,27,41,68
2020,1,Cañuelas,6134,10,17,27
2020,2,Cañuelas,6134,17,13,30
2020,3,Cañuelas,6134,13,11,24
2020,4,Cañuelas,6134,7,8,15
2020,5,Cañuelas,6134,15,20,35
2020,6,Cañuelas,6134,16,17,33
2020,7,Cañuelas,6134,20,43,63
2020,8,Cañuelas,6134,25,48,73
2020,9,Cañuelas,6134,39,39,78
2020,10,Cañuelas,6134,24,45,69
2020,11,Cañuelas,6134,20,30,50
2020,12,Cañuelas,6134,26,32,58
2020,1,Capitán Sarmiento,6140,4,5,9
2020,2,Capitán Sarmiento,6140,6,2,8
2020,3,Capitán Sarmiento,6140,7,3,10
2020,4,Capitán Sarmiento,6140,7,7,14
2020,5,Capitán Sarmiento,6140,4,5,9
2020,6,Capitán Sarmiento,6140,6,5,11
2020,7,Capitán Sarmiento,6140,7,9,16
2020,8,Capitán Sarmiento,6140,5,7,12
2020,9,Capitán Sarmiento,6140,11,6,17
2020,10,Capitán Sarmiento,6140,6,8,14
2020,11,Capitán Sarmiento,6140,2,10,12
2020,12,Capitán Sarmiento,6140,5,5,10
2020,1,Carlos Casares,6147,6,4,10
2020,2,Carlos Casares,6147,6,4,10
2020,3,Carlos Casares,6147,9,6,15
2020,4,Carlos Casares,6147,8,4,12
2020,5,Carlos Casares,6147,9,8,17
2020,6,Carlos Casares,6147,8,9,17
2020,7,Carlos Casares,6147,6,13,19
2020,8,Carlos Casares,6147,8,13,21
2020,9,Carlos Casares,6147,8,12,20
2020,10,Carlos Casares,6147,11,11,22
2020,11,Carlos Casares,6147,20,16,36
2020,12,Carlos Casares,6147,14,21,35
2020,1,Carlos Tejedor,6154,3,4,7
2020,2,Carlos Tejedor,6154,1,3,4
2020,3,Carlos Tejedor,6154,5,4,9
2020,4,Carlos Tejedor,6154,2,1,3
2020,5,Carlos Tejedor,6154,3,4,7
2020,6,Carlos Tejedor,6154,6,9,15
2020,7,Carlos Tejedor,6154,2,6,8
2020,8,Carlos Tejedor,6154,8,6,14
2020,9,Carlos Tejedor,6154,1,5,6
2020,10,Carlos Tejedor,6154,4,7,11
2020,11,Carlos Tejedor,6154,3,4,7
2020,12,Carlos Tejedor,6154,5,1,6
2020,1,Carmen de Areco,6161,5,4,9
2020,2,Carmen de Areco,6161,7,6,13
2020,3,Carmen de Areco,6161,4,3,7
2020,4,Carmen de Areco,6161,2,3,5
2020,5,Carmen de Areco,6161,3,5,8
2020,6,Carmen de Areco,6161,4,9,13
2020,7,Carmen de Areco,6161,4,4,8
2020,8,Carmen de Areco,6161,5,5,10
